"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"Louisiana"	"22"	2279	4497267	50.7
	"2002"	"2002"	"Maine"	"23"	580	1295960	44.8
	"2002"	"2002"	"Maryland"	"24"	2024	5440389	37.2
	"2002"	"2002"	"Massachusetts"	"25"	2004	6417206	31.2
	"2002"	"2002"	"Michigan"	"26"	3845	10015710	38.4
	"2002"	"2002"	"Minnesota"	"27"	1727	5018935	34.4
	"2002"	"2002"	"Mississippi"	"28"	944	2858681	33.0
	"2002"	"2002"	"Missouri"	"29"	2304	5674825	40.6
	"2002"	"2002"	"Montana"	"30"	279	911667	30.6
	"2002"	"2002"	"Nebraska"	"31"	542	1728292	31.4
	"2002"	"2002"	"Nevada"	"32"	490	2173791	22.5
	"2002"	"2002"	"New Hampshire"	"33"	412	1269089	32.5
	"2002"	"2002"	"New Jersey"	"34"	3462	8552643	40.5
	"2002"	"2002"	"New Mexico"	"35"	739	1855309	39.8
	"2002"	"2002"	"New York"	"36"	5272	19137800	27.5
	"2002"	"2002"	"North Carolina"	"37"	3088	8326201	37.1
	"2002"	"2002"	"North Dakota"	"38"	271	638168	42.5
	"2002"	"2002"	"Ohio"	"39"	5329	11407889	46.7
	"2002"	"2002"	"Oklahoma"	"40"	1442	3489080	41.3
	"2002"	"2002"	"Oregon"	"41"	1409	3513424	40.1
	"2002"	"2002"	"Pennsylvania"	"42"	5057	12331031	41.0
	"2002"	"2002"	"Rhode Island"	"44"	379	1065995	35.6
	"2002"	"2002"	"South Carolina"	"45"	1610	4107795	39.2
	"2002"	"2002"	"South Dakota"	"46"	251	760020	33.0
	"2002"	"2002"	"Tennessee"	"47"	2474	5795918	42.7
	"2002"	"2002"	"Texas"	"48"	7439	21690325	34.3
	"2002"	"2002"	"Utah"	"49"	690	2324815	29.7
	"2002"	"2002"	"Vermont"	"50"	242	615442	39.3
	"2002"	"2002"	"Virginia"	"51"	2257	7286873	31.0
	"2002"	"2002"	"Washington"	"53"	2014	6052349	33.3
	"2002"	"2002"	"West Virginia"	"54"	1154	1805414	63.9
	"2002"	"2002"	"Wisconsin"	"55"	1901	5445162	34.9
	"2002"	"2002"	"Wyoming"	"56"	202	500017	40.4
"Total"	"2002"	"2002"			99458	287625193	34.6
	"2003"	"2003"	"Alabama"	"01"	1863	4503491	41.4
	"2003"	"2003"	"Alaska"	"02"	128	648414	19.7
	"2003"	"2003"	"Arizona"	"04"	1517	5510364	27.5
	"2003"	"2003"	"Arkansas"	"05"	1165	2724816	42.8
	"2003"	"2003"	"California"	"06"	9041	35253159	25.6
	"2003"	"2003"	"Colorado"	"08"	1030	4528732	22.7
	"2003"	"2003"	"Connecticut"	"09"	1003	3484336	28.8
	"2003"	"2003"	"Delaware"	"10"	353	818003	43.2
	"2003"	"2003"	"District of Columbia"	"11"	225	568502	39.6
	"2003"	"2003"	"Florida"	"12"	6409	17004085	37.7
	"2003"	"2003"	"Georgia"	"13"	2432	8622793	28.2
	"2003"	"2003"	"Hawaii"	"15"	297	1251154	23.7
	"2003"	"2003"	"Idaho"	"16"	483	1363380	35.4
	"2003"	"2003"	"Illinois"	"17"	4158	12556006	33.1
	"2003"	"2003"	"Indiana"	"18"	2337	6196638	37.7
	"2003"	"2003"	"Iowa"	"19"	1010	2941999	34.3
	"2003"	"2003"	"Kansas"	"20"	958	2723004	35.2
	"2003"	"2003"	"Kentucky"	"21"	1743	4117170	42.3
	"2003"	"2003"	"Louisiana"	"22"	2231	4521042	49.3
	"2003"	"2003"	"Maine"	"23"	593	1306513	45.4
	"2003"	"2003"	"Maryland"	"24"	2000	5496269	36.4
	"2003"	"2003"	"Massachusetts"	"25"	2040	6422565	31.8
	"2003"	"2003"	"Michigan"	"26"	3691	10041152	36.8
	"2003"	"2003"	"Minnesota"	"27"	1662	5053572	32.9
	"2003"	"2003"	"Mississippi"	"28"	956	2868312	33.3
	"2003"	"2003"	"Missouri"	"29"	2292	5709403	40.1
	"2003"	"2003"	"Montana"	"30"	344	919630	37.4
	"2003"	"2003"	"Nebraska"	"31"	555	1738643	31.9
	"2003"	"2003"	"Nevada"	"32"	436	2248850	19.4
	"2003"	"2003"	"New Hampshire"	"33"	419	1279840	32.7
